luna	date	run	trial	xdat	lat	Count
10128	20080925	4	33	148	421	1
10128	20080925	4	34	201	429	1
10128	20080925	4	35	204	445	1
10128	20080925	4	36	130	505	1
10128	20080925	4	37	128	417	1
10128	20080925	4	38	202	497	1
10128	20080925	4	39	147	477	1
10128	20080925	4	40	150	465	1
10128	20080925	4	41	201	469	1
10128	20080925	4	42	130	445	1
10134	20080911	1	1	201	481	1
10134	20080911	1	2	149	461	1
10134	20080911	1	3	129	457	1
10134	20080911	1	4	203	433	1
10134	20080911	1	5	201	421	1
10134	20080911	1	6	130	445	1
10134	20080911	1	7	201	365	1
10134	20080911	1	8	149	401	1
10134	20080911	1	9	147	425	1
10134	20080911	1	10	202	433	1
10134	20080911	1	11	128	385	1
10134	20080911	1	12	129	493	1
10134	20080911	1	13	127	405	1
10134	20080911	1	14	150	457	1
10134	20080911	1	15	130	389	1
10134	20080911	1	16	201	413	1
10134	20080911	1	17	150	433	1
10134	20080911	1	18	128	441	1
10134	20080911	1	19	204	493	1
10134	20080911	1	20	150	441	1
10134	20080911	1	21	203	497	1
10134	20080911	1	22	130	473	1
10134	20080911	1	23	203	496	1
10134	20080911	1	24	204	421	1
10134	20080911	1	25	148	497	1
10134	20080911	1	26	147	417	1
10134	20080911	1	27	127	433	1
10134	20080911	1	28	147	477	1
10134	20080911	1	29	127	401	1
10134	20080911	1	30	204	437	1
10134	20080911	1	31	147	393	1
10134	20080911	1	32	150	441	1
10134	20080911	1	33	148	521	1
10134	20080911	1	34	130	445	1
10134	20080911	1	35	128	498	1
10134	20080911	1	36	204	517	1
10134	20080911	1	37	202	437	1
10134	20080911	1	38	127	417	1
10134	20080911	1	39	202	545	1
10134	20080911	1	40	129	593	1
10134	20080911	1	41	148	429	1
10134	20080911	1	42	149	513	1
10134	20080911	2	1	127	409	1
10134	20080911	2	2	147	429	1
10134	20080911	2	3	127	461	1
10134	20080911	2	4	204	465	1
10134	20080911	2	5	150	385	1
10134	20080911	2	6	129	405	1
10134	20080911	2	7	150	525	1
10134	20080911	2	8	147	441	1
10134	20080911	2	9	203	493	1
10134	20080911	2	10	149	361	2
10134	20080911	2	11	130	405	1
10134	20080911	2	12	127	498	1
10134	20080911	2	13	201	417	1
10134	20080911	2	14	202	601	1
10134	20080911	2	15	203	485	1
10134	20080911	2	16	148	413	1
10134	20080911	2	17	148	441	1
10134	20080911	2	18	204	477	1
10134	20080911	2	19	148	509	1
10134	20080911	2	20	127	421	1
10134	20080911	2	21	129	625	1
10134	20080911	2	22	128	353	2
10134	20080911	2	23	130	557	1
10134	20080911	2	24	204	497	1
10134	20080911	2	25	149	461	1
10134	20080911	2	26	149	417	1
10134	20080911	2	27	204	477	1
10134	20080911	2	28	128	349	2
10134	20080911	2	29	130	477	1
10134	20080911	2	30	150	509	1
10134	20080911	2	31	201	341	2
10134	20080911	2	32	201	457	1
10134	20080911	2	33	147	441	1
10134	20080911	2	34	129	493	1
10134	20080911	2	35	202	433	1
10134	20080911	2	36	202	417	1
10134	20080911	2	37	130	549	1
10134	20080911	2	38	147	429	1
10134	20080911	2	39	128	477	1
10134	20080911	2	40	203	521	1
10134	20080911	2	41	150	517	1
10134	20080911	2	42	201	385	1
10134	20080911	3	1	147	385	1
10134	20080911	3	2	127	393	1
10134	20080911	3	3	129	501	1
10134	20080911	3	4	147	449	1
10134	20080911	3	5	202	449	1
10134	20080911	3	6	129	457	1
10134	20080911	3	7	127	413	1
10134	20080911	3	8	204	465	1
10134	20080911	3	9	201	373	1
10134	20080911	3	10	150	485	1
10134	20080911	3	11	203	425	2
10134	20080911	3	12	201	413	1
10134	20080911	3	13	128	409	1
10134	20080911	3	14	147	469	1
10134	20080911	3	15	149	449	1
10134	20080911	3	16	202	397	1
10134	20080911	3	17	128	441	1
10134	20080911	3	18	202	377	1
10134	20080911	3	19	150	489	1
10134	20080911	3	20	128	373	2
10134	20080911	3	21	129	453	1
10134	20080911	3	22	148	NA	-1
10134	20080911	3	23	148	409	1
10134	20080911	3	24	130	494	1
10134	20080911	3	25	204	NA	-1
10134	20080911	3	26	147	409	1
10134	20080911	3	27	203	473	1
10134	20080911	3	28	130	397	1
10134	20080911	3	29	149	453	1
10134	20080911	3	30	203	605	1
10134	20080911	3	31	130	349	2
10134	20080911	3	32	149	425	1
10134	20080911	3	33	127	389	1
10134	20080911	3	34	150	477	1
10134	20080911	3	35	204	397	1
10134	20080911	3	36	148	321	2
10134	20080911	3	37	127	417	1
10134	20080911	3	38	204	453	1
10134	20080911	3	39	130	NA	-1
10134	20080911	3	40	150	421	1
10134	20080911	3	41	201	453	1
10134	20080911	3	42	201	393	1
10134	20080911	4	1	147	421	1
10134	20080911	4	2	130	481	1
10134	20080911	4	3	202	385	1
10134	20080911	4	4	149	533	1
10134	20080911	4	5	201	397	1
10134	20080911	4	6	202	405	1
10134	20080911	4	7	129	469	1
10134	20080911	4	8	129	409	1
10134	20080911	4	9	150	417	1
10134	20080911	4	10	149	693	1
10134	20080911	4	11	130	409	1
10134	20080911	4	12	127	409	1
10134	20080911	4	13	203	449	1
10134	20080911	4	14	204	437	1
10134	20080911	4	15	129	493	1
10134	20080911	4	16	150	437	1
10134	20080911	4	17	128	409	1
10134	20080911	4	18	204	553	1
10134	20080911	4	19	203	373	1
10134	20080911	4	20	148	425	1
10134	20080911	4	21	149	NA	-1
10134	20080911	4	22	201	425	1
10134	20080911	4	23	203	545	1
10134	20080911	4	24	127	335	2
10134	20080911	4	25	150	445	1
10134	20080911	4	26	147	429	1
10134	20080911	4	27	148	401	1
10134	20080911	4	28	128	405	1
10134	20080911	4	29	127	429	1
10134	20080911	4	30	127	393	1
10134	20080911	4	31	147	389	1
10134	20080911	4	32	204	473	1
10134	20080911	4	33	148	381	1
10134	20080911	4	34	201	385	1
10134	20080911	4	35	204	437	1
10134	20080911	4	36	130	409	1
10134	20080911	4	37	128	433	1
10134	20080911	4	38	202	429	1
10134	20080911	4	39	147	421	1
10134	20080911	4	40	150	497	1
10134	20080911	4	41	201	NA	-1
10134	20080911	4	42	130	445	1
10152	20081004	1	1	201	478	1
10152	20081004	1	2	149	181	1
10152	20081004	1	3	129	389	1
10152	20081004	1	4	203	397	1
10152	20081004	1	5	201	NA	-1
10152	20081004	1	6	130	NA	-1
10152	20081004	1	7	201	501	1
10152	20081004	1	8	149	429	1
10152	20081004	1	9	147	437	1
10152	20081004	1	10	202	477	1
10152	20081004	1	11	128	NA	-1
10152	20081004	1	12	129	NA	-1
10152	20081004	1	13	127	615	1
10152	20081004	1	14	150	548	1
10152	20081004	1	15	130	537	1
10152	20081004	1	16	201	NA	-1
10152	20081004	1	17	150	304	1
10152	20081004	1	18	128	581	1
10152	20081004	1	19	204	585	1
10152	20081004	1	20	150	525	1
10152	20081004	1	21	203	NA	-1
10152	20081004	1	22	130	493	1
10152	20081004	1	23	203	NA	-1
10152	20081004	1	24	204	461	1
10152	20081004	1	25	148	457	1
10152	20081004	1	26	147	NA	-1
10152	20081004	1	27	127	459	1
10152	20081004	1	28	147	473	1
10152	20081004	1	29	127	453	1
10152	20081004	1	30	204	493	1
