luna	date	ncor	n	acc	ndropped	meanlat
10677	20110604	144	168	0.857142857142857	20	410.527777777778
10677	20120803	155	168	0.922619047619048	8	380.535483870968
10678	20090606	65	168	0.386904761904762	95	353.169230769231
10678	20101218	87	96	0.90625	8	401.528735632184
10678	20121219	149	168	0.886904761904762	12	384.785234899329
10680	20090619	127	168	0.755952380952381	18	475.874015748031
10680	20101222	93	96	0.96875	1	427.817204301075
10680	20120615	155	168	0.922619047619048	9	410.683870967742
10686	20090821	165	168	0.982142857142857	0	333.618181818182
10689	20090611	140	168	0.833333333333333	21	382.914285714286
10689	20110310	152	168	0.904761904761905	15	388.598684210526
10689	20120919	71	168	0.422619047619048	94	445.450704225352
10696	20090629	84	168	0.5	24	409.142857142857
10697	20090620	149	168	0.886904761904762	11	418.825503355705
10697	20110217	146	168	0.869047619047619	21	402.054794520548
10697	20120803	111	168	0.660714285714286	45	383.297297297297
10699	20090810	155	168	0.922619047619048	2	439.683870967742
10699	20110226	162	168	0.964285714285714	4	410.320987654321
10699	20120915	152	168	0.904761904761905	8	433.052631578947
10700	20090826	164	168	0.976190476190476	0	429.55487804878
10700	20110317	161	168	0.958333333333333	3	457.142857142857
10700	20120831	164	168	0.976190476190476	3	415.280487804878
10701	20090804	146	168	0.869047619047619	2	400.431506849315
10701	20110323	117	168	0.696428571428571	7	401.615384615385
10701	20120906	130	168	0.773809523809524	31	416.415384615385
10703	20090710	131	168	0.779761904761905	26	480.198473282443
10703	20110118	151	168	0.898809523809524	7	470.298013245033
10703	20120726	147	168	0.875	19	434.47619047619
10707	20090713	150	168	0.892857142857143	8	447.213333333333
10708	20090723	154	168	0.916666666666667	12	480.720779220779
10708	20110803	125	168	0.744047619047619	43	451.848
10709	20090723	138	168	0.821428571428571	10	461.369565217391
10709	20110803	141	168	0.839285714285714	14	428.992907801418
10710	20090720	144	168	0.857142857142857	11	376.083333333333
10711	20090716	123	168	0.732142857142857	11	423.341463414634
10711	20110126	147	168	0.875	12	389.795918367347
10711	20121108	147	168	0.875	15	344.69387755102
10712	20090720	147	168	0.875	3	421.448979591837
10713	20090725	158	168	0.94047619047619	8	514.246835443038
10713	20110212	159	168	0.946428571428571	8	469.610062893082
10717	20090810	110	168	0.654761904761905	37	552.654545454545
10717	20110226	137	168	0.81547619047619	19	487.335766423358
10717	20120915	70	168	0.416666666666667	86	397.685714285714
10745	20090909	164	168	0.976190476190476	2	395.384146341463
10747	20090901	155	168	0.922619047619048	8	358.387096774194
10747	20110514	153	168	0.910714285714286	14	404.843137254902
10747	20120828	151	168	0.898809523809524	15	355.927152317881
10749	20090901	96	168	0.571428571428571	31	484.572916666667
10749	20110616	102	168	0.607142857142857	41	465.323529411765
10749	20130910	151	168	0.898809523809524	13	423.417218543046
10757	20091028	81	168	0.482142857142857	83	382.160493827161
10757	20091124	74	168	0.44047619047619	83	393.959459459459
10757	20110601	125	168	0.744047619047619	36	387.968
10757	20121218	79	168	0.470238095238095	78	363.253164556962
10758	20091031	103	168	0.613095238095238	63	392.106796116505
10758	20110614	159	168	0.946428571428571	9	367.899371069182
10758	20121009	140	168	0.833333333333333	24	382.592857142857
10760	20091031	128	168	0.761904761904762	25	424.140625
10760	20110513	148	168	0.880952380952381	13	361.162162162162
10760	20121030	149	168	0.886904761904762	14	350.335570469799
10761	20091120	97	168	0.577380952380952	64	437.762886597938
10761	20110519	152	168	0.904761904761905	10	419.361842105263
10761	20121001	110	168	0.654761904761905	45	434.009090909091
10762	20091130	121	168	0.720238095238095	39	389.793388429752
10762	20110907	164	168	0.976190476190476	2	349.951219512195
10765	20091116	162	168	0.964285714285714	5	364.876543209877
10765	20110912	156	168	0.928571428571429	11	347.089743589744
10765	20121024	144	168	0.857142857142857	20	336.201388888889
10766	20091201	91	168	0.541666666666667	72	366.296703296703
10766	20110915	158	168	0.94047619047619	9	394.335443037975
10766	20130130	146	168	0.869047619047619	21	381.150684931507
10767	20091216	121	168	0.720238095238095	35	467.446280991736
10767	20110523	31	42	0.738095238095238	6	527.903225806452
10767	20131207	157	168	0.93452380952381	6	394.668789808917
10768	20091202	141	168	0.839285714285714	27	382.936170212766
10768	20121212	131	168	0.779761904761905	35	388.152671755725
10772	20091224	101	168	0.601190476190476	38	565.049504950495
10772	20120503	158	168	0.94047619047619	5	460.778481012658
10773	20100102	131	168	0.779761904761905	10	459.129770992366
10773	20110709	148	168	0.880952380952381	12	377.256756756757
10773	20130228	159	168	0.946428571428571	9	347.194968553459
10774	20100102	112	168	0.666666666666667	50	370.321428571429
10774	20110709	159	168	0.946428571428571	6	320.51572327044
10774	20130228	151	168	0.898809523809524	17	319.543046357616
10777	20100125	32	168	0.19047619047619	110	596.3125
10778	20100326	157	168	0.93452380952381	11	391.764331210191
10779	20100218	135	168	0.803571428571429	18	417.42962962963
10780	20100331	131	168	0.779761904761905	18	524.259541984733
10780	20110823	81	168	0.482142857142857	70	488.777777777778
10780	20130625	153	168	0.910714285714286	6	477.751633986928
