luna	date	rtype	ncor	n	acc	ndropped	meanlat
10173	20100313	pun	55	56	0.982142857142857	1	369.836363636364
10173	20100313	neut	55	56	0.982142857142857	1	367.163636363636
10173	20100313	rew	54	56	0.964285714285714	2	380.296296296296
10173	20110820	pun	53	56	0.946428571428571	2	360.509433962264
10173	20110820	neut	54	56	0.964285714285714	1	356.944444444444
10173	20110820	rew	54	56	0.964285714285714	1	369.333333333333
10181	20090604	pun	31	56	0.553571428571429	25	363.903225806452
10181	20090604	neut	29	56	0.517857142857143	27	350.620689655172
10181	20090604	rew	30	56	0.535714285714286	25	364.233333333333
10181	20101124	pun	22	56	0.392857142857143	32	346.727272727273
10181	20101124	neut	25	56	0.446428571428571	30	336.48
10181	20101124	rew	24	56	0.428571428571429	32	340.541666666667
10181	20130129	pun	29	56	0.517857142857143	24	391.48275862069
10181	20130129	neut	28	56	0.5	26	392.571428571429
10181	20130129	rew	32	56	0.571428571428571	20	362.375
10300	20081112	pun	25	56	0.446428571428571	29	388.8
10300	20081112	neut	34	56	0.607142857142857	17	403.735294117647
10300	20081112	rew	26	56	0.464285714285714	20	396.653846153846
10300	20100702	pun	46	56	0.821428571428571	6	374.565217391304
10300	20100702	neut	47	56	0.839285714285714	5	380.297872340426
10300	20100702	rew	41	56	0.732142857142857	11	404.926829268293
10300	20111201	pun	42	56	0.75	13	365.571428571429
10300	20111201	neut	38	56	0.678571428571429	16	354.868421052632
10300	20111201	rew	36	56	0.642857142857143	18	357.861111111111
10315	20080924	pun	53	56	0.946428571428571	1	371.490566037736
10315	20080924	neut	49	56	0.875	0	383.244897959184
10315	20080924	rew	48	56	0.857142857142857	2	392.0625
10385	20081111	pun	51	56	0.910714285714286	2	415.352941176471
10385	20081111	neut	52	56	0.928571428571429	2	404.192307692308
10385	20081111	rew	55	56	0.982142857142857	1	424.472727272727
10406	20090216	pun	44	56	0.785714285714286	12	356.886363636364
10406	20090216	neut	42	56	0.75	14	354.214285714286
10406	20090216	rew	48	56	0.857142857142857	8	373.625
10406	20100828	pun	54	56	0.964285714285714	1	371.777777777778
10406	20100828	neut	53	56	0.946428571428571	3	374.339622641509
10406	20100828	rew	53	56	0.946428571428571	2	378.905660377359
10406	20120524	pun	40	56	0.714285714285714	14	376.75
10406	20120524	neut	43	56	0.767857142857143	13	368.581395348837
10406	20120524	rew	39	56	0.696428571428571	16	376.410256410256
10431	20081101	pun	31	56	0.553571428571429	25	407.967741935484
10431	20081101	neut	33	56	0.589285714285714	20	427.363636363636
10431	20081101	rew	33	56	0.589285714285714	22	403.848484848485
10451	20080913	pun	54	56	0.964285714285714	1	334.981481481481
10451	20080913	neut	49	56	0.875	3	324.30612244898
10451	20080913	rew	53	56	0.946428571428571	3	351.075471698113
10466	20100102	pun	25	56	0.446428571428571	27	396.8
10466	20100102	neut	18	56	0.321428571428571	34	361.388888888889
10466	20100102	rew	20	56	0.357142857142857	36	417.85
10466	20110910	pun	37	56	0.660714285714286	18	420.459459459459
10466	20110910	neut	38	56	0.678571428571429	13	408.263157894737
10466	20110910	rew	42	56	0.75	13	430.690476190476
